[ 12.990782, 77.7146249, False ]
[ 12.9922275, 77.7189925, False ]
[ 12.9922275, 77.7189925, False ]
[ 12.9922275, 77.7189925, False ]
[ 12.9922275, 77.7189925, False ]
[ 12.9900812, 77.7245212, False ]
[ 12.9926371, 77.726631, False ]
[ 12.9926371, 77.726631, False ]
[ 12.9907424, 77.7274072, False ]
[ 12.9921235, 77.7270112, False ]
[ 12.9921235, 77.7270112, False ]
[ 12.9939571, 77.7268671, False ]
[ 12.9939571, 77.7268671, False ]
[ 12.9939571, 77.7268671, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9957585, 77.7292345, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9957683, 77.7293363, False ]
[ 12.9957683, 77.7293363, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9956842, 77.7294257, False ]
[ 12.9956842, 77.7294257, False ]
[ 12.9956842, 77.7294257, False ]
[ 12.9956842, 77.7294257, False ]
[ 12.9956842, 77.7294257, False ]
[ 12.9956842, 77.7294257, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958083, 77.729305, False ]
[ 12.9958083, 77.729305, False ]
[ 12.9958083, 77.729305, False ]
[ 12.9958083, 77.729305, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9957683, 77.7293363, False ]
[ 12.9957683, 77.7293363, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958738, 77.7290094, False ]
[ 12.9958738, 77.7290094, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.995806, 77.7292022, False ]
[ 12.995806, 77.7292022, False ]
[ 12.9956842, 77.7294257, False ]
[ 12.9956842, 77.7294257, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.995806, 77.7292022, False ]
[ 12.995806, 77.7292022, False ]
[ 12.995806, 77.7292022, False ]
[ 12.995806, 77.7292022, False ]
[ 12.995806, 77.7292022, False ]
[ 12.995806, 77.7292022, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291578, False ]
[ 12.9958481, 77.7291578, False ]
[ 12.9957952, 77.7292442, False ]
[ 12.9957952, 77.7292442, False ]
[ 12.9957952, 77.7292442, False ]
[ 12.9957952, 77.7292442, False ]
[ 12.9958077, 77.7292237, False ]
[ 12.9958077, 77.7292237, False ]
[ 12.9958158, 77.7292105, False ]
[ 12.9958158, 77.7292105, False ]
[ 12.9958158, 77.7292105, False ]
[ 12.9958158, 77.7292105, False ]
[ 12.9958214, 77.7292014, False ]
[ 12.9958214, 77.7292014, False ]
[ 12.9958253, 77.7291949, False ]
[ 12.9958253, 77.7291949, False ]
[ 12.9958255, 77.729195, False ]
[ 12.9958255, 77.729195, False ]
[ 12.9958281, 77.7291906, False ]
[ 12.9958281, 77.7291906, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958492, 77.7291588, False ]
[ 12.9958492, 77.7291588, False ]
[ 12.9956842, 77.7294257, False ]
[ 12.9956842, 77.7294257, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
